palette name,pictures,rose,red,orange,yellow,lime,green,teal,cyan,azure,blue,purple,magenta
Regatta Ice,463,62,136,0,0,0,0,0,0,0,302,3,5
Reliquary,434,93,127,0,0,0,26,195,4,14,75,0,0
Reliquary Vespers,390,33,45,0,0,0,16,129,1,61,172,1,0
Rose Above,631,27,0,0,0,0,0,0,0,2,202,431,262
Rose Against Cobalt,843,745,19,0,1,0,0,0,0,105,19,6,9
Rose Against Steel,548,16,1,0,0,0,0,0,0,291,505,38,7
Rose Eclipse,745,480,83,248,51,0,0,7,0,0,0,0,0
"Rose Field, Sapphire Cut",722,592,0,0,0,0,0,0,0,1,92,16,262
Rose Furnace,734,440,0,0,0,0,0,0,0,0,0,0,607
Rose Hour Spark,605,17,0,0,0,0,0,0,0,54,529,64,72
Rose Quartz Deep,807,782,16,0,0,0,0,0,0,16,0,0,9
Rose Quartz Meadow,439,9,167,31,17,177,145,0,0,0,0,0,0
Rose Quartz Ramp,735,720,83,0,0,0,0,0,0,0,0,0,6
Rose Quartz Vault,556,1,0,0,0,0,0,0,0,0,0,0,549
Rose Reactor,474,277,0,0,0,0,0,0,0,47,168,19,46
Rose Slate Khaki,257,26,1,0,69,0,1,1,0,87,60,21,19
Rose Smoke,671,631,90,18,0,0,0,0,0,0,0,0,1
Rose Triad,732,271,7,56,27,0,0,0,0,38,337,45,53
Rose Under Ice,712,10,0,0,0,0,0,0,4,654,66,2,32
Rose and Verdigris,665,417,42,4,2,2,244,127,0,0,1,0,1
Rose in Ash,908,873,0,0,1,0,0,0,39,0,0,0,3
Rust & Rainlight,367,11,239,87,0,0,0,0,0,70,122,0,1
Rust Against Petrol,531,0,16,361,14,1,0,157,71,0,0,0,0
Rust Kiln,588,0,2,550,289,0,0,0,0,0,0,0,0
Rust Lagoon,486,0,1,122,1,0,2,10,377,0,0,0,0
Rust in the Slate Vault,345,3,115,5,0,0,0,0,0,166,211,8,0
Rust to Olive,411,0,138,236,214,15,0,0,0,0,0,0,0
Rust to Plum,502,140,441,238,0,0,0,0,0,0,0,0,3
Sage & Signal,588,0,0,0,0,1,565,2,0,0,0,0,45
Sage Ascendant,567,0,0,0,0,0,243,297,257,6,0,0,0
Sage Ascending,576,0,0,0,0,0,569,0,0,0,0,0,0
Sage Ember,403,3,26,0,0,371,17,0,0,0,0,0,0
Sage Ladder,490,0,0,0,0,157,485,0,0,0,0,0,0
Sage Over Oxblood,443,0,113,2,1,34,324,0,0,0,0,0,0
Sapphire & Coal,94,29,0,0,0,0,0,0,0,2,45,22,39
Sapphire & Dusk Rose,731,222,0,0,0,0,0,0,0,297,304,72,275
Sapphire Against Rose,585,36,0,0,0,0,0,0,0,135,308,101,236
Sapphire Bloom,526,244,1,0,0,0,0,0,0,164,101,45,49
Sapphire in Blush,621,127,0,0,0,0,0,0,0,2,261,159,335
Sea Glass Dawn,577,0,0,0,0,1,291,509,48,0,0,0,0
Sea Glass Drift,270,0,0,0,0,1,264,112,0,0,0,0,0
Sea Glass Vault,539,38,2,13,234,183,28,53,0,0,0,0,100
Sea-Glass & Ash,314,0,57,3,0,0,2,249,175,0,0,0,0
Seafoam Dusk,615,0,0,0,0,0,18,553,215,0,0,0,0
Sherbet Flare,427,94,424,0,1,0,0,0,0,0,0,0,0
"Shoal, One Coral",485,0,207,4,1,0,2,271,220,0,0,0,0
Signal & Sulphur,562,0,0,0,47,0,0,3,242,387,17,0,0
Signal Triad,583,3,5,59,367,0,0,16,7,0,0,0,176
"Siren, Lights Out",399,267,1,1,0,0,0,0,134,1,0,0,102
Sixties Cellar,368,0,4,268,243,41,0,0,0,0,0,0,0
Sixties Poster,395,0,155,278,90,64,0,0,0,0,0,0,0
Slate & Wine,620,41,0,0,0,0,0,0,0,7,393,124,182
Slate Ascension,344,0,0,0,0,0,0,0,101,328,18,0,0
Slate Ladder,451,0,0,0,0,0,1,1,0,424,444,0,0
Slate and Dusty Rose,757,549,48,0,1,1,0,186,138,0,0,0,1
Slow Combustion,316,0,248,158,24,0,0,0,0,0,0,0,0
Smoke & Madder,571,1,0,292,29,0,0,0,1,270,12,0,1
Sorbet Cellar,416,0,1,61,0,0,1,118,0,0,1,248,1
Sorbet Vault,389,5,16,113,0,0,24,179,0,0,0,76,4
Sorrel Triad,493,228,11,1,9,172,0,0,0,31,31,3,45
Spectral,613,47,243,87,97,49,74,5,4,24,1,0,0
Spice Procession,390,2,381,73,2,0,0,0,0,0,0,0,0
Split Lime,662,0,0,0,0,348,8,4,5,245,251,0,0
Steel & Coals,467,0,215,90,0,0,1,73,234,0,0,0,0
Steel & Ember,554,1,10,14,0,0,0,0,0,454,505,0,0
Steel and Straw,676,0,0,0,315,0,0,0,0,351,0,0,0
Straw and Teal,298,0,0,5,298,2,0,0,0,0,0,0,0
Struck Flint,480,0,114,263,2,0,1,42,182,0,0,0,0
Sulphur & Plum,687,0,0,1,228,3,0,0,0,180,343,10,127
Sulphur in the Vault,413,0,0,1,104,0,0,0,0,0,0,347,9
Tarnished Amber,649,0,0,455,412,66,0,0,0,0,0,0,0
Teal & Coral Tide,184,0,110,3,0,0,0,75,42,0,0,0,0
Teal Against Coral,354,0,267,23,0,0,0,59,87,0,0,0,0
Teal Against Rust,573,0,2,291,0,1,23,334,3,0,0,0,0
Teal Amber Orchid,540,35,4,108,13,6,11,229,4,0,0,0,143
Teal Ash,565,0,5,38,0,1,14,522,1,0,0,0,0
"Teal Depths, Coral Spark",740,0,197,1,0,0,1,653,2,0,0,0,0
Teal Ember Cliff,327,0,4,43,0,0,8,287,59,0,0,0,0
"Teal Family, Amber Spark",174,0,0,13,0,0,1,167,1,0,0,0,0
"Teal Flare, Amber Fall",294,0,0,103,0,0,2,220,51,0,0,0,0
"Teal, Magenta, Gold",550,12,1,3,74,1,8,331,0,0,0,0,119
Terminal Flare,484,0,0,0,0,1,481,0,0,0,0,0,0
Three Candles,543,10,368,74,123,0,0,0,0,12,44,0,0
Three Coals,525,3,39,281,121,0,0,0,0,145,46,0,0
Three Coals in Ash,406,7,21,205,1,0,2,67,40,0,0,0,84
Three Fires,723,13,141,104,110,0,0,0,0,301,319,37,10
"Three Hues, Kept Apart",619,45,0,0,44,1,0,359,12,1,0,1,225
Three Jewels,748,1,0,0,0,0,0,0,0,85,478,274,202
"Three Jewels, Pale Room",444,3,110,173,282,0,0,0,0,0,17,0,0
Three Minerals on Coal,312,0,136,39,99,3,1,47,29,0,0,0,0
Three-Jewel Bloom,640,98,23,19,131,1,0,83,47,0,0,1,311
Three-Metal,608,0,4,178,1,1,3,330,10,103,3,0,0
Three-Point Fire-Ice,498,0,14,86,0,0,1,5,237,194,19,2,1
Tidepool,328,0,0,0,0,0,0,136,210,151,2,0,0
"Tidewater, No Sky",435,0,6,163,0,0,0,0,336,0,0,0,0
"Tidewater, Two Crests",216,0,49,1,0,0,0,141,154,0,0,0,0
Tobacco Bloom,650,290,119,158,0,0,0,0,0,146,53,5,7
Tourmaline Rose,722,602,34,1,0,0,18,228,0,0,0,0,0
Triad Nocturne,630,0,0,0,0,0,0,0,0,123,463,242,108
Triad Patina,509,83,88,80,0,0,0,149,0,0,0,0,152
Trinity of Ash,659,74,6,3,221,1,0,11,24,1,0,2,375
Turkish Grind,436,0,18,430,9,0,0,0,0,0,0,0,0
Twilight Bridge,520,8,2,123,166,0,0,0,0,0,0,290,54
Twilight Procession,628,1,0,0,0,0,0,0,0,0,296,431,220
Twilight Triad,719,66,11,29,108,0,0,0,0,0,0,85,518
Twin Mineral Peaks,541,0,254,123,0,0,0,249,143,0,0,0,0
Twin Sapphires,291,1,0,0,0,0,0,0,0,64,191,33,97
Twin Sconces,558,104,429,0,0,0,0,0,0,3,94,1,2
Two Golds,296,0,0,8,293,3,0,0,0,0,0,0,0
Ultraviolet Siren,445,130,0,0,0,0,0,0,264,1,0,19,114
Umber & Ember,421,0,9,416,49,0,0,0,0,0,0,0,0
Umber Ground,448,1,34,436,0,0,0,0,0,0,0,0,0
Umber Procession,473,0,4,468,12,0,0,0,0,0,0,0,0
Umber Rise,74,0,3,72,13,0,0,0,0,0,0,0,0
Varnish and Bone,496,1,68,490,9,0,0,0,0,0,0,0,0
Verdant Ascent,617,0,0,0,0,1,612,1,0,0,0,0,0
Verdant Mist,674,483,1,0,0,0,151,118,7,0,0,0,30
Verdant Triad,649,0,5,169,134,303,33,0,0,0,1,97,3
Verdigris & Coal,703,0,0,0,0,0,2,446,33,3,1,2,352
Verdigris & Copper,560,0,14,275,16,24,15,223,8,0,0,0,0
Verdigris & Fuchsia,630,0,0,0,0,0,1,346,3,1,1,21,355
Verdigris & One Spark,641,0,0,145,1,0,2,528,3,0,0,0,0
Verdigris Coal,614,0,25,425,25,32,184,0,0,0,0,0,0
Verdigris Flare,241,0,8,135,4,2,2,117,0,0,0,0,0
Verdigris Furnace,652,0,0,78,0,0,0,8,579,220,0,0,0
Verdigris Hollow,546,0,0,0,1,0,1,403,509,48,1,0,0
Verdigris Khaki,615,0,0,0,404,75,10,73,128,0,0,0,0
Verdigris Walk,758,0,0,0,93,254,328,325,3,0,0,0,0
"Verdigris to Lime, One Rose",612,3,1,0,4,516,143,0,0,0,0,0,67
Vermilion Chapel,431,0,146,24,7,7,282,0,0,0,0,0,0
Vice Nightfall,417,61,140,102,0,0,0,0,0,0,0,163,65
Violet Ascension,860,0,0,0,0,0,0,0,0,0,473,710,176
Violet Cellar,747,0,0,0,290,0,0,0,0,0,275,466,1
Violet Kindled,659,46,0,0,0,0,0,0,0,0,2,453,341
"Violet, Cyan, Ochre",570,0,0,0,67,6,12,231,93,17,26,153,0
Warm Core in the Deep,827,0,0,0,0,1,1,2,2,763,672,0,0
Widow's Gold,647,16,0,0,33,0,0,0,0,0,0,0,623
Wine & Ember,554,187,194,6,0,0,0,0,0,0,0,39,330
Wine & Slate Candle,666,490,31,0,0,0,0,0,0,0,142,13,35
Wine Step,227,42,183,0,0,0,0,0,0,0,42,0,0
Wisteria Nightfall,652,0,0,0,0,0,0,0,0,0,1,344,623
Y2K Bubblegum,444,210,0,0,0,0,0,0,0,243,8,1,42
Y2K Chrome,439,180,0,0,0,0,0,0,0,270,23,4,17
Yew Without Moon,485,11,121,0,0,4,378,0,0,0,0,0,0
YlGn,542,0,0,0,0,200,528,0,0,0,0,0,0
YlGnBu,663,0,0,0,0,22,112,63,152,331,134,0,0
YlOrBr,600,0,214,542,216,2,0,0,0,0,0,0,0
YlOrRd,591,0,435,251,130,1,0,0,0,0,0,0,0
abstract-3d-wallpapers,622,0,0,0,0,13,613,0,0,0,0,0,0
abstract-wallpaper-backgrounds-hd,592,0,2,288,54,6,0,0,2,303,3,0,0
adrift-concept-art-14463-1920x1200,445,0,1,333,97,2,0,0,0,28,0,0,0
afmhot,936,0,532,743,296,2,0,0,0,0,0,0,0
agates-25,497,0,75,112,354,66,1,0,0,0,0,0,0
ahli,617,0,0,0,2,32,315,241,4,0,0,0,93
along-the-starry-way-25,923,0,0,0,0,1,0,0,0,12,887,462,0
amarettoboso,501,33,108,145,3,0,0,0,0,0,6,233,51
amazing-25,823,0,39,754,238,4,0,0,0,0,0,0,0
anathema-25,567,42,564,0,1,0,0,0,0,0,0,0,0
anodize-25,503,0,0,0,0,0,0,1,415,238,3,0,0
antiques-and-aqua-25,506,0,83,0,0,0,7,443,6,0,0,0,0
ariel-25,529,0,0,0,0,0,0,0,4,508,290,0,0
at-the-beach-hd-wallpaper-1920x1200,621,0,32,606,32,1,0,0,0,0,0,0,0
atlas_grey,0,0,0,0,0,0,0,0,0,0,0,0,0
autumn,452,0,188,251,220,4,0,0,0,0,0,0,0
azarn,698,652,71,2,0,0,0,0,0,0,0,0,325
benediction-25,503,5,75,195,58,0,0,0,0,0,236,9,1
berlin,596,15,295,1,0,0,0,0,0,284,74,26,16
birds-of-paradise-25,508,24,86,50,0,0,0,0,0,0,129,320,32
black-widow-25,512,0,0,22,496,53,5,2,0,0,0,0,0
blacklight-25,647,106,0,0,0,0,0,0,0,0,0,369,450
blinan,348,0,5,92,316,1,0,0,0,0,0,0,0
blue_orange,0,0,0,0,0,0,0,0,0,0,0,0,0
bluebird-25,565,0,0,0,0,0,0,0,106,542,26,0,0
blueroot,634,481,7,0,0,0,0,0,0,0,2,47,278
bone,734,0,0,0,0,0,0,2,81,114,573,78,0
brisbee,440,0,0,70,244,149,0,0,0,0,100,4,0
bwr,793,73,295,1,0,0,0,0,0,0,362,146,79
calypsos-domain-25,542,0,0,0,0,0,281,320,9,25,101,0,0
carried-away-25,736,0,0,0,0,0,0,0,0,1,508,517,3
celestial-domain-25,624,0,0,0,0,0,1,620,110,0,0,0,0
cet_cyclic_bgrmb_35_70_c75,476,119,27,4,3,22,27,0,0,0,85,73,156
cet_cyclic_mrybm_35_75_c68,362,117,74,29,44,0,0,0,0,1,43,50,61
cet_cyclic_mrybm_35_75_c68_s25,154,24,31,11,20,0,0,0,0,0,25,49,36
cet_cyclic_mybm_20_100_c48,327,4,4,0,16,72,55,16,6,63,49,7,16
cet_cyclic_mybm_20_100_c48_s25,187,6,2,1,6,54,36,13,2,11,19,15,12
cet_cyclic_mygbm_30_95_c78,175,2,1,0,14,63,19,0,0,0,37,25,27
cet_cyclic_mygbm_30_95_c78_s25,301,4,0,0,4,97,25,0,0,0,60,81,73
cet_cyclic_mygbm_50_90_c46,143,5,5,8,19,27,10,9,9,19,3,3,5
cet_cyclic_mygbm_50_90_c46_s25,292,12,11,5,28,47,19,16,20,16,20,29,19
cet_cyclic_protanopic_deuteranopic_bwyk_16_96_c31,574,0,0,0,290,0,0,0,0,15,341,7,0
cet_cyclic_protanopic_deuteranopic_wywb_55_96_c33,159,0,0,1,90,0,0,0,0,0,86,0,0
cet_cyclic_rygcbmr_50_90_c64,335,5,52,27,33,38,25,9,12,43,35,4,3
cet_cyclic_rygcbmr_50_90_c64_s25,133,2,46,7,4,12,11,2,2,9,9,9,4
cet_cyclic_tritanopic_cwrk_40_100_c20,557,8,323,0,0,0,1,1,276,15,2,1,0
cet_cyclic_tritanopic_wrwc_70_100_c20,220,9,138,0,0,0,0,0,95,0,0,0,0
cet_cyclic_wrkbw_10_90_c43,400,41,219,0,0,0,0,0,0,0,193,13,6
cet_cyclic_wrkbw_10_90_c43_s25,202,6,108,0,0,0,0,0,0,0,93,15,18
cet_cyclic_wrwbw_40_90_c42,135,3,82,0,0,0,0,0,0,0,57,0,1
cet_cyclic_wrwbw_40_90_c42_s25,273,18,120,0,0,0,0,0,0,0,133,16,33
cet_cyclic_ymcgy_60_90_c67,219,8,4,4,11,45,64,23,3,1,0,3,49
cet_cyclic_ymcgy_60_90_c67_s25,161,0,2,1,15,61,38,10,3,0,2,0,39
cet_diverging_bkr_55_10_c35,502,19,269,0,0,0,0,0,0,9,226,39,34
cet_diverging_bky_60_10_c30,576,0,0,2,322,0,0,0,0,262,72,0,0
cet_diverging_bwg_20_95_c41,651,0,0,0,0,0,208,111,70,353,136,0,0
cet_diverging_bwr_20_95_c54,787,36,379,0,0,0,0,0,0,0,394,51,73
cet_diverging_bwr_40_95_c42,87,8,47,0,0,0,0,0,0,0,29,6,9
cet_diverging_bwr_55_98_c37,585,28,303,0,0,0,0,0,0,1,299,29,33
cet_diverging_gkr_60_10_c40,619,0,354,100,37,33,213,0,0,0,0,0,0
cet_diverging_gwr_55_95_c38,463,0,297,42,23,86,91,0,0,0,0,0,0
cet_diverging_linear_bjr_30_55_c53,402,56,228,0,0,0,0,0,0,0,83,67,36
cet_diverging_linear_bjy_30_90_c45,363,0,2,10,264,1,0,0,0,0,63,99,2
cet_diverging_linear_protanopic_deuteranopic_bjy_57_89_c34,407,0,0,4,259,1,0,0,0,9,187,2,0
cet_diverging_protanopic_deuteranopic_bwy_60_95_c32,353,0,0,4,159,0,0,0,0,1,238,4,0
cet_diverging_rainbow_bgymr_45_85_c67,441,112,193,53,42,88,10,1,0,0,15,0,2
cet_diverging_tritanopic_cwr_75_98_c20,442,9,229,0,0,0,0,0,232,23,6,0,1
cet_linear_bgy_10_95_c74,517,0,0,0,0,127,351,18,3,20,143,0,0
cet_linear_bgyw_15_100_c67,344,0,0,0,0,222,28,1,0,5,135,5,0
cet_linear_bgyw_15_100_c68,136,0,0,0,0,85,4,0,0,0,59,0,0
cet_linear_bgyw_20_98_c66,549,0,0,0,1,372,66,1,1,15,149,0,0
cet_linear_blue_95_50_c20,161,0,0,0,0,0,0,0,0,155,146,0,0
cet_linear_bmw_5_95_c86,583,0,0,0,0,0,0,0,0,0,336,247,257
cet_linear_bmw_5_95_c89,535,0,0,0,0,0,0,0,0,0,287,160,281
cet_linear_bmy_10_95_c71,511,118,122,78,111,0,0,0,0,0,62,30,59
cet_linear_bmy_10_95_c78,473,158,80,71,88,0,0,0,0,0,81,16,42
cet_linear_gow_60_85_c27,349,0,1,4,332,21,6,4,0,0,0,0,0
cet_linear_gow_65_90_c35,386,0,0,13,369,78,1,0,0,0,0,0,0
cet_linear_kbc_5_95_c73,883,0,0,0,0,0,0,1,84,385,697,0,0
cet_linear_kbgoy_20_95_c57,413,0,0,1,263,100,1,1,2,7,113,1,0
cet_linear_kbgyw_10_98_c63,152,0,0,0,0,88,11,0,0,4,58,2,0
cet_linear_kbgyw_5_98_c62,373,0,0,0,0,193,36,4,0,9,151,0,0
cet_linear_kgy_5_95_c69,569,0,0,0,0,48,557,0,0,0,0,0,0
cet_linear_kry_0_97_c73,50,0,22,34,13,0,0,0,0,0,0,0,0
cet_linear_kry_5_95_c72,28,0,18,7,8,0,0,0,0,0,0,0,0
cet_linear_kry_5_98_c75,260,0,179,104,64,0,0,0,0,0,0,0,0
cet_linear_kryw_0_100_c71,62,0,40,33,19,0,0,0,0,0,0,0,0
cet_linear_kryw_5_100_c64,514,0,408,202,59,0,0,0,0,0,0,0,0
cet_linear_kryw_5_100_c67,235,0,187,98,20,2,0,0,0,0,0,0,0
cet_linear_protanopic_deuteranopic_kbjyw_5_95_c25,482,0,1,1,293,0,0,0,0,195,100,0,0
cet_linear_protanopic_deuteranopic_kbw_5_95_c34,879,0,0,0,0,0,0,0,2,461,870,0,0
cet_linear_protanopic_deuteranopic_kbw_5_98_c40,665,0,1,0,139,1,0,0,0,418,535,3,0
cet_linear_protanopic_deuteranopic_kyw_5_95_c49,698,0,0,6,693,2,0,0,0,0,0,0,0
cet_linear_tritanopic_kcw_5_95_c22,219,0,0,0,0,0,0,0,219,4,0,0,0
cet_linear_tritanopic_krjcw_5_95_c24,569,7,205,0,0,0,0,0,424,56,1,0,0
cet_linear_tritanopic_krjcw_5_98_c46,649,125,545,0,0,0,0,0,60,8,1,1,3
cet_linear_tritanopic_krw_5_95_c46,699,15,695,0,2,0,0,0,0,0,0,0,0
cet_linear_wcmr_100_45_c42,521,254,10,0,0,0,0,0,0,10,88,89,166
cet_linear_worb_100_25_c53,619,367,216,71,27,0,0,0,0,0,2,1,189
cet_linear_wyor_100_45_c55,535,0,175,405,244,2,0,0,0,0,0,0,0
cet_rainbow_bgyr_10_90_c83,444,1,32,161,84,46,2,0,0,0,159,6,4
cet_rainbow_bgyr_35_85_c72,259,0,4,95,102,62,11,0,0,4,15,0,0
cet_rainbow_bgyr_35_85_c73,205,0,6,108,68,47,5,0,0,3,6,0,0
cet_rainbow_bgyrm_35_85_c69,249,4,96,74,37,28,7,1,0,0,19,2,1
cet_rainbow_bgyrm_35_85_c71,176,8,55,47,31,27,3,0,0,4,4,0,1
chaidai,510,26,12,1,0,0,0,0,0,1,11,418,134
chalk-drawing-25,697,0,0,0,0,0,0,0,25,671,523,0,0
chiaris-25,573,0,0,0,566,1,0,0,0,0,0,0,0
chronoscope-25,608,0,324,590,41,0,0,0,3,2,0,0,0
circulation,415,320,267,0,0,0,0,0,77,0,0,0,0
citadel,522,0,454,329,0,0,0,0,0,0,0,0,0
city_of_lights,772,0,1,669,468,1,0,0,0,0,0,0,0
cividis,418,0,0,0,325,9,1,1,0,55,80,0,0
cmr.amber,665,3,191,558,279,1,0,0,0,0,0,0,0
cmr.amethyst,806,0,0,0,0,0,0,0,0,11,447,644,0
cmr.apple,624,3,234,154,99,230,52,0,0,0,0,0,0
cmr.arctic,854,0,0,0,0,0,0,0,19,814,521,0,0
cmr.bubblegum,592,165,5,0,0,0,0,0,0,0,49,253,370
cmr.chroma,590,28,12,10,21,160,128,0,0,0,9,69,89
cmr.copper,430,42,45,42,13,13,10,15,88,101,0,0,18
cmr.copper_s,140,21,24,51,9,1,3,0,17,16,1,0,7
cmr.cosmic,639,0,0,0,0,0,0,23,179,144,286,182,0
cmr.dusk,580,2,348,263,28,4,3,3,6,0,0,0,0
cmr.eclipse,484,0,0,4,365,33,0,1,47,53,1,0,0
cmr.ember,597,137,362,254,48,2,0,0,0,0,0,0,7
cmr.emerald,674,0,0,0,0,3,589,389,0,0,0,0,0
cmr.emergency,783,120,41,13,0,0,0,0,0,129,256,411,63
cmr.emergency_s,205,86,20,3,0,0,0,0,0,4,47,59,23
cmr.fall,637,136,99,208,281,15,0,0,0,0,0,0,21
cmr.flamingo,892,860,379,1,0,0,0,0,0,0,0,0,92
cmr.freeze,757,0,0,0,0,0,0,1,57,411,554,12,0
cmr.fusion,811,211,357,112,14,0,0,0,5,102,151,88,7
cmr.gem,618,23,3,0,0,0,0,0,21,174,188,253,97
cmr.ghostlight,529,0,0,0,15,414,0,0,0,0,0,72,50
cmr.gothic,1028,0,0,0,0,0,0,0,0,0,2,1014,553
cmr.guppy,471,61,98,5,0,0,0,0,12,57,159,68,65
cmr.holly,637,263,157,2,5,213,289,0,0,0,0,0,4
cmr.horizon,624,0,0,0,0,0,15,54,35,53,485,103,0
cmr.iceburn,534,1,26,265,30,0,0,0,17,170,61,7,2
cmr.infinity,106,1,9,1,11,5,5,6,1,3,23,17,5
cmr.infinity_s,367,24,52,34,23,24,12,9,2,26,23,75,21
cmr.jungle,647,0,0,0,0,467,618,0,0,0,0,0,0
cmr.lavender,605,0,0,0,0,0,137,261,29,27,39,195,2
cmr.lilac,518,4,1,3,21,235,4,0,0,5,53,165,17
cmr.neon,518,32,11,0,0,0,75,89,30,23,72,80,101
cmr.nuclear,595,0,0,0,0,7,586,0,0,0,0,0,0
cmr.ocean,708,0,0,0,0,0,0,219,350,328,85,5,0
cmr.pepper,473,2,97,101,54,303,12,0,0,0,0,0,0
cmr.pride,503,34,47,81,155,34,3,5,5,35,49,14,7
cmr.prinsenvlag,584,3,33,157,105,0,0,0,17,235,135,2,1
cmr.rainforest,639,0,0,0,49,293,54,10,4,23,53,105,0
cmr.redshift,648,326,17,0,0,0,0,0,26,167,95,39,62
cmr.sapphire,712,0,0,0,0,0,0,0,42,436,545,0,0
cmr.savanna,558,0,2,161,424,100,9,22,2,0,0,0,0
cmr.seasons,395,28,15,38,45,22,82,41,12,26,53,0,2
cmr.seasons_s,150,15,18,48,31,4,17,12,8,1,1,0,1
cmr.seaweed,515,0,0,0,0,0,341,58,50,133,9,0,0
cmr.sepia,547,182,189,185,66,1,0,0,0,0,0,0,40
cmr.sunburst,854,172,753,360,11,0,0,0,0,0,0,0,1
cmr.swamp,614,0,0,0,0,15,498,196,27,5,1,0,0
cmr.torch,656,118,274,42,1,0,0,0,0,2,96,124,78
cmr.toxic,580,0,0,0,0,115,473,33,16,17,36,3,0
cmr.tree,482,0,1,18,39,105,385,0,0,0,0,0,0
cmr.tropical,438,56,62,18,32,28,174,23,0,0,0,0,35
cmr.viola,708,69,0,0,0,0,0,0,5,66,273,338,225
cmr.voltage,836,0,0,0,0,0,0,0,0,31,459,607,133
cmr.waterlily,589,0,0,0,0,70,299,33,34,55,78,109,0
cmr.watermelon,520,256,16,2,3,74,236,0,0,0,0,0,1
cmr.wildfire,554,21,40,227,32,19,128,29,4,10,2,0,0
colourwheel-25,423,65,21,26,268,3,0,3,0,0,0,0,46
commons_2125_Mandelbulb_3D,580,0,0,1,2,0,1,2,1,561,11,0,0
commons_Chaos_Clock_-_The_Steampunk_Spell-Shaper,627,0,0,0,0,610,173,0,0,0,0,0,0
commons_Js17eta,595,0,20,48,55,43,19,16,26,247,59,1,1
commons_Julia-Menge_-0.8_0.156i,560,0,0,0,0,0,0,0,522,87,0,0,0
commons_Julia-Menge_83372617338,469,0,0,0,0,56,443,1,0,0,1,26,1
commons_Julia_Fractal_rendered_in_Paint.NET,786,0,639,551,53,3,0,0,0,0,0,0,0
commons_Julia_set_spiral,508,4,26,17,84,172,27,0,0,0,44,80,16
commons_Kalles_Fraktaler_adventurous-forest_00024_1.17e222,670,58,17,4,0,0,0,0,5,16,545,44,6
commons_Mandelbrot_3_B_C3_B4ng_Xoay,985,0,0,0,0,0,0,0,0,3,979,65,0
commons_Mandelbrot_3_D_C6_B0_C6_A1ng_X_E1_BB_89_C_E1_BB_95_Sinh,487,37,115,129,51,0,0,0,0,0,0,1,231
commons_Mandelbrot_3_Xo_C3_A1y_B_C3_A1nh_Ng_E1_BB_8Dt,164,0,0,45,159,1,0,0,0,0,0,0,0
commons_Mandelbrot_3__E1_BB_94_Chu_E1_BB_93n_Chu_E1_BB_93n__C4_90_E1_BB_99t_Bi_E1_BA_BFn,429,74,17,2,0,0,0,0,0,0,0,4,386
commons_Mandelbrot_4_B_C3_B4ng_Ho_C3_A0ng_D_C3_A3,598,63,0,0,0,0,0,0,0,0,0,200,569
commons_Mandelbrot_4_H_E1_BB_93__E1_BB_90c,272,0,5,58,255,1,0,0,0,0,0,0,0
commons_Mandelbrot_5_B_C3_B4ng_Ng_C5_A9_Gi_C3_A1c,472,50,158,137,9,0,0,0,0,0,0,50,152
commons_Mandelbrot_5_Ba__E1_BB_90c,524,0,0,2,3,239,272,5,0,0,10,96,5
commons_Mandelbrot_5__E1_BB_90c_D_C3_A3y_B_C3_B4ng,620,18,0,0,0,0,0,0,0,112,566,40,15
commons_Mandelbrot_6_Hai_Ng_C3_A2n_H_C3_A0,645,1,89,12,16,30,38,5,10,52,253,198,1
commons_Mandelbrot_6_Ph_C3_A1o_B_C3_B4ng,466,91,90,118,79,0,0,0,0,0,0,0,196
commons_Mandelbrot_6_R_E1_BB_ABng_Nhi_E1_BB_87t__C4_90_E1_BB_9Bi,505,0,0,0,0,2,311,164,175,25,0,0,0
commons_Mandelbrot_6__C4_90_E1_BA_A7u_R_E1_BB_93ng,561,155,39,284,1,0,0,0,0,0,0,0,190
commons_Mandelbrot_B_C3_A1nh_Ng_E1_BB_8Dt,414,0,1,334,215,1,0,0,0,0,1,1,0
commons_Mandelbrot_B_C3_B4ng_Tuy_E1_BA_BFt,881,0,0,0,0,0,0,0,0,0,4,873,16
commons_Mandelbrot_C_C3_A2y_Trong_R_E1_BB_ABng_2,437,120,7,3,2,27,323,0,0,0,0,0,0
commons_Mandelbrot_Hai__E1_BB_90c_M_E1_BB_8Bn,796,699,493,1,1,0,0,0,0,6,1,0,8
commons_Mandelbrot_M_E1_BB_8Dc_Rau,426,92,91,97,0,0,0,0,0,0,0,37,214
commons_Mandelbrot_M_E1_BB_99t__C4_90_C3_A0n__E1_BB_90c,580,14,0,0,2,81,551,0,0,0,0,0,11
commons_Mandelbrot_V_C3_A0nh__C4_90_C3_A0i__E1_BB_90c_M_E1_BB_8Bn,543,0,0,0,1,114,216,0,0,0,0,258,103
commons_Mandelbrot_set-35-k_3D10-filter01,606,0,42,594,79,1,0,0,0,0,0,0,0
commons_Ms-0557-0645,57,0,40,26,8,0,0,0,0,0,0,0,0
commons_Spiralarm_Julia-Menge_-0_2C5R_0I_01072019_16K,482,29,0,0,0,0,0,0,0,0,0,0,474
congruity-25,563,0,166,532,146,0,0,0,0,0,0,0,0
consequences-25,886,1,693,347,155,2,0,0,0,0,0,0,0
contra-25,422,0,269,306,65,0,0,0,0,0,0,0,0
